2026-08-02 178568086803:27:48 	 a900acb6-2509-42d2-a443-23d0c5049d62 	 /	GET
2026-08-02 178568087603:27:56 	 bb5b4976-ec23-426e-a779-a8e5390e44d5 	 /	GET
2026-08-02 178568160703:40:07 	 4c420760-d489-4a4b-9a3b-ccbe765b754f 	 /	GET
2026-08-02 178568160803:40:08 	 0593abfe-5ecf-43e3-9b39-4c46769209fd 	 /css/style.css	GET
2026-08-02 178568185603:44:16 	 8a7b124b-17bf-47e3-9d70-cc8a14927243 	 /css/style.css	GET
2026-08-02 178568185603:44:16 	 8b566a43-ce39-47a4-b645-8a445b94f0f6 	 /.well-known/appspecific/com.chrome.devtools.json	GET
2026-08-02 178568194703:45:47 	 58b95024-9506-40f1-8c08-d74148c7cd90 	 /	GET
2026-08-02 178568194703:45:47 	 fef4c12d-cc4a-4b95-9c5a-f9459892b6b8 	 /css/style.css	GET
2026-08-02 178568194703:45:47 	 baa028ce-4847-4e9e-abb1-81a8bbbea9bf 	 /.well-known/appspecific/com.chrome.devtools.json	GET
2026-08-02 178574011919:55:19 	 dde8c56e-9555-4e18-a511-27abc852045f 	 /	GET
2026-08-02 178574011919:55:19 	 0cd55574-98cb-4d75-bd2d-b911372f99f0 	 /css/style.css	GET
2026-08-02 178574019219:56:32 	 a24b66a7-5961-4bb1-9bc6-180968426dba 	 /css/style.css	GET
2026-08-02 178574019219:56:32 	 7d64577f-f85a-437d-af6d-a7a0768440dd 	 /.well-known/appspecific/com.chrome.devtools.json	GET
2026-08-02 178574110120:11:41 	 6efaf545-bc19-4147-a362-9dc37e97cfb2 	 /.well-known/appspecific/com.chrome.devtools.json	GET
2026-08-02 178574139920:16:39 	 fd2a8815-d8df-456c-a778-762b606ecd98 	 /my-fake-page	GET
2026-08-02 178574139920:16:39 	 25da4eb9-7e07-498a-97cc-afdfcc6848fd 	 /css/style.css	GET
2026-08-02 178574141220:16:52 	 738c9f27-5d72-4ffd-a99d-f6af7ea8dfc7 	 /css/style.css	GET
2026-08-02 178574141320:16:53 	 7dfcf3f7-d88c-409c-9403-24fa5fe969fa 	 /.well-known/appspecific/com.chrome.devtools.json	GET
2026-08-02 178574176120:22:41 	 7bad0bff-b017-4464-a74c-f2a8624940f1 	 /.well-known/appspecific/com.chrome.devtools.json	GET
2026-08-02 178574235920:32:39 	 7fdbbbea-301b-4d14-a0fe-7f668af7d421 	 /	GET
2026-08-02 178574235920:32:39 	 46f746ee-edac-4959-bb36-8a00910c7077 	 /css/style.css	GET
2026-08-02 178574238620:33:06 	 8986d23c-dbab-46cd-ae55-9403fa270fdc 	 /	GET
2026-08-02 178574238620:33:06 	 e9212f45-41b6-4372-9eb4-6fa6312493d4 	 /css/style.css	GET
2026-08-02 178574240620:33:26 	 4ea982e2-b50e-4b34-a3a0-59c4a7a7315d 	 /new-page.html	GET
2026-08-02 178574240620:33:26 	 7fa6f20b-199d-4267-8fa7-41421b5b67c3 	 /img/img1.jpg	GET
2026-08-02 178574240620:33:26 	 79685601-abf2-4237-a22f-f87fd5fb35e1 	 /css/style.css	GET
2026-08-03 178575557400:12:54 	 9e28d73c-b7d0-49f0-bb84-ae468e21c250 	 GET	undefined	/
2026-08-03 178575557400:12:54 	 4ea28a07-affc-4a65-93c4-bc44642af2ee 	 GET	undefined	/css/styles.css
2026-08-03 178575584700:17:27 	 648de097-3f39-494a-a094-e1009274c283 	 GET	undefined	/
2026-08-03 178575584700:17:27 	 50b33a48-d664-42ae-bd81-8ab2c15e0be9 	 GET	undefined	/css/styles.css
2026-08-03 178575619600:23:16 	 884cd15a-f4ff-474b-affd-f38a942e9fc1 	 GET	https://www.bing.com	/
2026-08-03 178577870506:38:25 	 730d22bb-043a-4532-882c-292307e14f9c 	 GET	undefined	/
2026-08-03 178577870506:38:25 	 70440ec9-a2b4-4817-9c81-93176513c6ce 	 GET	undefined	/css/styles.css
2026-08-03 178577870606:38:26 	 d84cf113-c950-4132-8c5b-29c321044034 	 GET	undefined	/
2026-08-03 178577870606:38:26 	 4e4d7d27-5298-46ef-b3a0-5f91deb19ace 	 GET	undefined	/css/styles.css
2026-08-03 178577944406:50:44 	 9fc818ba-7b9a-43a2-b8a3-50a1f527a0bb 	 GET	undefined	/
2026-08-03 178577944406:50:44 	 2ad9423f-d872-416a-8228-e6ef74ce5997 	 GET	undefined	/css/styles.css
2026-08-03 178577946806:51:08 	 22244395-a850-4db6-a9fd-c1e365ac2238 	 GET	undefined	/
2026-08-03 178577946806:51:08 	 f58a1eb8-93e3-4a78-9670-325cda5b7c69 	 GET	undefined	/css/styles.css
2026-08-03 178577960006:53:20 	 0ef80492-fdf1-405a-8e53-1643aee05fbc 	 GET	undefined	/sab
2026-08-03 178577960006:53:20 	 3c3b4f05-f05c-4928-a59d-d82832cff243 	 GET	undefined	/css/style.css
2026-08-03 178578451608:15:16 	 7d0fc67e-4f0b-483c-9229-5cb9bd04ffcd 	 GET	undefined	/register
2026-08-03 178578451608:15:16 	 33fa7730-172b-4584-ab54-78373405f150 	 GET	undefined	/css/style.css
2026-08-03 178578484408:20:44 	 959a3e10-da47-4370-80bf-ab3e1cf7eb59 	 GET	undefined	/register
2026-08-03 178578484408:20:44 	 83aafb6a-7a30-498f-a851-8358bdb5bc67 	 GET	undefined	/css/style.css
2026-08-03 178578487908:21:19 	 60364c72-2ad3-43c0-b830-1a9fa6a02094 	 GET	undefined	/register
2026-08-03 178578488008:21:20 	 76f742a2-cf05-4db2-b17e-76f40cfe61b9 	 GET	undefined	/css/style.css
2026-08-03 178578525908:27:39 	 a60a88ec-cc86-4063-b0e4-febfc06d2522 	 GET	undefined	/register
2026-08-03 178578525908:27:39 	 76529a18-fced-47f2-915f-cc295bc1ca7b 	 GET	undefined	/css/style.css
2026-08-03 178578526008:27:40 	 475713f0-4499-476a-928d-ec0cfb8947c1 	 GET	undefined	/register
2026-08-03 178578526008:27:40 	 20a0e8a9-e158-4540-8811-a652868f4de7 	 GET	undefined	/css/style.css
2026-08-03 178578526108:27:41 	 967af103-14c4-475a-a108-082843288357 	 GET	undefined	/register
